job_id,task_data,status,result,error,start_time,end_time,retry_count,duration_seconds,metadata
job_000002,"{'sku': 'SKU00001', 'price': 11, 'quantity': 90}",completed,"{'sku': 'SKU00001', 'price': 11, 'quantity': 90, 'total_value': 990, 'processed_at': '2026-06-20T14:21:29.759990'}",,2026-06-20T14:21:29.736371,2026-06-20T14:21:29.760166,0,0.023795,{}
job_000001,"{'sku': 'SKU00000', 'price': 10, 'quantity': 66}",completed,"{'sku': 'SKU00000', 'price': 10, 'quantity': 66, 'total_value': 660, 'processed_at': '2026-06-20T14:21:29.760586'}",,2026-06-20T14:21:29.736230,2026-06-20T14:21:29.760722,0,0.024492,{}
job_000003,"{'sku': 'SKU00002', 'price': 12, 'quantity': 4}",completed,"{'sku': 'SKU00002', 'price': 12, 'quantity': 4, 'total_value': 48, 'processed_at': '2026-06-20T14:21:29.770345'}",,2026-06-20T14:21:29.760190,2026-06-20T14:21:29.770527,0,0.010337,{}
job_000004,"{'sku': 'SKU00003', 'price': 13, 'quantity': 64}",completed,"{'sku': 'SKU00003', 'price': 13, 'quantity': 64, 'total_value': 832, 'processed_at': '2026-06-20T14:21:29.772796'}",,2026-06-20T14:21:29.760822,2026-06-20T14:21:29.772959,0,0.012137,{}
job_000006,"{'sku': 'SKU00005', 'price': 15, 'quantity': 29}",completed,"{'sku': 'SKU00005', 'price': 15, 'quantity': 29, 'total_value': 435, 'processed_at': '2026-06-20T14:21:29.787864'}",,2026-06-20T14:21:29.772978,2026-06-20T14:21:29.789835,0,0.016857,{}
job_000005,"{'sku': 'SKU00004', 'price': 14, 'quantity': 76}",completed,"{'sku': 'SKU00004', 'price': 14, 'quantity': 76, 'total_value': 1064, 'processed_at': '2026-06-20T14:21:29.789883'}",,2026-06-20T14:21:29.770553,2026-06-20T14:21:29.789988,0,0.019435,{}
job_000007,"{'sku': 'SKU00006', 'price': 16, 'quantity': 59}",completed,"{'sku': 'SKU00006', 'price': 16, 'quantity': 59, 'total_value': 944, 'processed_at': '2026-06-20T14:21:29.801853'}",,2026-06-20T14:21:29.789866,2026-06-20T14:21:29.802039,0,0.012173,{}
job_000008,"{'sku': 'SKU00007', 'price': 17, 'quantity': 20}",completed,"{'sku': 'SKU00007', 'price': 17, 'quantity': 20, 'total_value': 340, 'processed_at': '2026-06-20T14:21:29.802099'}",,2026-06-20T14:21:29.790007,2026-06-20T14:21:29.802189,0,0.012182,{}
job_000010,"{'sku': 'SKU00009', 'price': 19, 'quantity': 43}",completed,"{'sku': 'SKU00009', 'price': 19, 'quantity': 43, 'total_value': 817, 'processed_at': '2026-06-20T14:21:29.812298'}",,2026-06-20T14:21:29.802206,2026-06-20T14:21:29.812800,0,0.010594,{}
job_000009,"{'sku': 'SKU00008', 'price': 18, 'quantity': 51}",completed,"{'sku': 'SKU00008', 'price': 18, 'quantity': 51, 'total_value': 918, 'processed_at': '2026-06-20T14:21:29.812845'}",,2026-06-20T14:21:29.802065,2026-06-20T14:21:29.812947,0,0.010882,{}
job_000012,"{'sku': 'SKU00011', 'price': 21, 'quantity': 72}",completed,"{'sku': 'SKU00011', 'price': 21, 'quantity': 72, 'total_value': 1512, 'processed_at': '2026-06-20T14:21:29.823992'}",,2026-06-20T14:21:29.812964,2026-06-20T14:21:29.824173,0,0.011209,{}
job_000011,"{'sku': 'SKU00010', 'price': 20, 'quantity': 78}",completed,"{'sku': 'SKU00010', 'price': 20, 'quantity': 78, 'total_value': 1560, 'processed_at': '2026-06-20T14:21:29.824237'}",,2026-06-20T14:21:29.812828,2026-06-20T14:21:29.824331,0,0.011503,{}
job_000014,"{'sku': 'SKU00013', 'price': 23, 'quantity': 48}",completed,"{'sku': 'SKU00013', 'price': 23, 'quantity': 48, 'total_value': 1104, 'processed_at': '2026-06-20T14:21:29.835886'}",,2026-06-20T14:21:29.824348,2026-06-20T14:21:29.842546,0,0.018198,{}
job_000013,"{'sku': 'SKU00012', 'price': 22, 'quantity': 54}",completed,"{'sku': 'SKU00012', 'price': 22, 'quantity': 54, 'total_value': 1188, 'processed_at': '2026-06-20T14:21:29.842605'}",,2026-06-20T14:21:29.824202,2026-06-20T14:21:29.842792,0,0.01859,{}
job_000016,"{'sku': 'SKU00015', 'price': 25, 'quantity': 60}",completed,"{'sku': 'SKU00015', 'price': 25, 'quantity': 60, 'total_value': 1500, 'processed_at': '2026-06-20T14:21:29.859266'}",,2026-06-20T14:21:29.842810,2026-06-20T14:21:29.859452,0,0.016642,{}
job_000015,"{'sku': 'SKU00014', 'price': 24, 'quantity': 54}",completed,"{'sku': 'SKU00014', 'price': 24, 'quantity': 54, 'total_value': 1296, 'processed_at': '2026-06-20T14:21:29.859494'}",,2026-06-20T14:21:29.842586,2026-06-20T14:21:29.859576,0,0.01699,{}
job_000018,"{'sku': 'SKU00017', 'price': 27, 'quantity': 70}",completed,"{'sku': 'SKU00017', 'price': 27, 'quantity': 70, 'total_value': 1890, 'processed_at': '2026-06-20T14:21:29.869820'}",,2026-06-20T14:21:29.859591,2026-06-20T14:21:29.870020,0,0.010429,{}
job_000017,"{'sku': 'SKU00016', 'price': 26, 'quantity': 83}",completed,"{'sku': 'SKU00016', 'price': 26, 'quantity': 83, 'total_value': 2158, 'processed_at': '2026-06-20T14:21:29.875806'}",,2026-06-20T14:21:29.859478,2026-06-20T14:21:29.876028,0,0.01655,{}
job_000019,"{'sku': 'SKU00018', 'price': 28, 'quantity': 50}",completed,"{'sku': 'SKU00018', 'price': 28, 'quantity': 50, 'total_value': 1400, 'processed_at': '2026-06-20T14:21:29.881069'}",,2026-06-20T14:21:29.870045,2026-06-20T14:21:29.881256,0,0.011211,{}
job_000020,"{'sku': 'SKU00019', 'price': 29, 'quantity': 72}",completed,"{'sku': 'SKU00019', 'price': 29, 'quantity': 72, 'total_value': 2088, 'processed_at': '2026-06-20T14:21:29.886820'}",,2026-06-20T14:21:29.876053,2026-06-20T14:21:29.886980,0,0.010927,{}
job_000021,"{'sku': 'SKU00020', 'price': 30, 'quantity': 32}",completed,"{'sku': 'SKU00020', 'price': 30, 'quantity': 32, 'total_value': 960, 'processed_at': '2026-06-20T14:21:29.894806'}",,2026-06-20T14:21:29.881280,2026-06-20T14:21:29.894979,0,0.013699,{}
job_000022,"{'sku': 'SKU00021', 'price': 31, 'quantity': 73}",completed,"{'sku': 'SKU00021', 'price': 31, 'quantity': 73, 'total_value': 2263, 'processed_at': '2026-06-20T14:21:29.897202'}",,2026-06-20T14:21:29.887002,2026-06-20T14:21:29.897310,0,0.010308,{}
job_000023,"{'sku': 'SKU00022', 'price': 32, 'quantity': 16}",completed,"{'sku': 'SKU00022', 'price': 32, 'quantity': 16, 'total_value': 512, 'processed_at': '2026-06-20T14:21:29.909811'}",,2026-06-20T14:21:29.895002,2026-06-20T14:21:29.909994,0,0.014992,{}
job_000024,"{'sku': 'SKU00023', 'price': 33, 'quantity': 69}",completed,"{'sku': 'SKU00023', 'price': 33, 'quantity': 69, 'total_value': 2277, 'processed_at': '2026-06-20T14:21:29.911322'}",,2026-06-20T14:21:29.897328,2026-06-20T14:21:29.911472,0,0.014144,{}
job_000025,"{'sku': 'SKU00024', 'price': 34, 'quantity': 6}",completed,"{'sku': 'SKU00024', 'price': 34, 'quantity': 6, 'total_value': 204, 'processed_at': '2026-06-20T14:21:29.920119'}",,2026-06-20T14:21:29.910022,2026-06-20T14:21:29.920320,0,0.010298,{}
job_000026,"{'sku': 'SKU00025', 'price': 35, 'quantity': 41}",completed,"{'sku': 'SKU00025', 'price': 35, 'quantity': 41, 'total_value': 1435, 'processed_at': '2026-06-20T14:21:29.921602'}",,2026-06-20T14:21:29.911497,2026-06-20T14:21:29.921757,0,0.01026,{}
job_000027,"{'sku': 'SKU00026', 'price': 36, 'quantity': 9}",completed,"{'sku': 'SKU00026', 'price': 36, 'quantity': 9, 'total_value': 324, 'processed_at': '2026-06-20T14:21:29.932804'}",,2026-06-20T14:21:29.920348,2026-06-20T14:21:29.932993,0,0.012645,{}
job_000028,"{'sku': 'SKU00027', 'price': 37, 'quantity': 99}",completed,"{'sku': 'SKU00027', 'price': 37, 'quantity': 99, 'total_value': 3663, 'processed_at': '2026-06-20T14:21:29.935920'}",,2026-06-20T14:21:29.921798,2026-06-20T14:21:29.936035,0,0.014237,{}
job_000029,"{'sku': 'SKU00028', 'price': 38, 'quantity': 62}",completed,"{'sku': 'SKU00028', 'price': 38, 'quantity': 62, 'total_value': 2356, 'processed_at': '2026-06-20T14:21:29.943951'}",,2026-06-20T14:21:29.933016,2026-06-20T14:21:29.944135,0,0.011119,{}
job_000030,"{'sku': 'SKU00029', 'price': 39, 'quantity': 88}",completed,"{'sku': 'SKU00029', 'price': 39, 'quantity': 88, 'total_value': 3432, 'processed_at': '2026-06-20T14:21:29.946133'}",,2026-06-20T14:21:29.936053,2026-06-20T14:21:29.946218,0,0.010165,{}
job_000031,"{'sku': 'SKU00030', 'price': 40, 'quantity': 44}",completed,"{'sku': 'SKU00030', 'price': 40, 'quantity': 44, 'total_value': 1760, 'processed_at': '2026-06-20T14:21:29.955455'}",,2026-06-20T14:21:29.944158,2026-06-20T14:21:29.955678,0,0.01152,{}
job_000032,"{'sku': 'SKU00031', 'price': 41, 'quantity': 88}",completed,"{'sku': 'SKU00031', 'price': 41, 'quantity': 88, 'total_value': 3608, 'processed_at': '2026-06-20T14:21:29.957756'}",,2026-06-20T14:21:29.946235,2026-06-20T14:21:29.957864,0,0.011629,{}
job_000033,"{'sku': 'SKU00032', 'price': 42, 'quantity': 83}",completed,"{'sku': 'SKU00032', 'price': 42, 'quantity': 83, 'total_value': 3486, 'processed_at': '2026-06-20T14:21:29.969312'}",,2026-06-20T14:21:29.955702,2026-06-20T14:21:29.969507,0,0.013805,{}
job_000034,"{'sku': 'SKU00033', 'price': 43, 'quantity': 36}",completed,"{'sku': 'SKU00033', 'price': 43, 'quantity': 36, 'total_value': 1548, 'processed_at': '2026-06-20T14:21:29.969550'}",,2026-06-20T14:21:29.957880,2026-06-20T14:21:29.969650,0,0.01177,{}
job_000035,"{'sku': 'SKU00034', 'price': 44, 'quantity': 59}",completed,"{'sku': 'SKU00034', 'price': 44, 'quantity': 59, 'total_value': 2596, 'processed_at': '2026-06-20T14:21:29.979677'}",,2026-06-20T14:21:29.969532,2026-06-20T14:21:29.979879,0,0.010347,{}
job_000036,"{'sku': 'SKU00035', 'price': 45, 'quantity': 58}",completed,"{'sku': 'SKU00035', 'price': 45, 'quantity': 58, 'total_value': 2610, 'processed_at': '2026-06-20T14:21:29.979918'}",,2026-06-20T14:21:29.969668,2026-06-20T14:21:29.979987,0,0.010319,{}
job_000037,"{'sku': 'SKU00036', 'price': 46, 'quantity': 47}",completed,"{'sku': 'SKU00036', 'price': 46, 'quantity': 47, 'total_value': 2162, 'processed_at': '2026-06-20T14:21:29.989994'}",,2026-06-20T14:21:29.979901,2026-06-20T14:21:29.990187,0,0.010286,{}
job_000038,"{'sku': 'SKU00037', 'price': 47, 'quantity': 37}",completed,"{'sku': 'SKU00037', 'price': 47, 'quantity': 37, 'total_value': 1739, 'processed_at': '2026-06-20T14:21:29.990226'}",,2026-06-20T14:21:29.980000,2026-06-20T14:21:29.990289,0,0.010289,{}
job_000040,"{'sku': 'SKU00039', 'price': 49, 'quantity': 95}",completed,"{'sku': 'SKU00039', 'price': 49, 'quantity': 95, 'total_value': 4655, 'processed_at': '2026-06-20T14:21:30.000393'}",,2026-06-20T14:21:29.990302,2026-06-20T14:21:30.000574,0,0.010272,{}
job_000039,"{'sku': 'SKU00038', 'price': 48, 'quantity': 95}",completed,"{'sku': 'SKU00038', 'price': 48, 'quantity': 95, 'total_value': 4560, 'processed_at': '2026-06-20T14:21:30.004785'}",,2026-06-20T14:21:29.990210,2026-06-20T14:21:30.004876,0,0.014666,{}
job_000041,"{'sku': 'SKU00040', 'price': 50, 'quantity': 1}",completed,"{'sku': 'SKU00040', 'price': 50, 'quantity': 1, 'total_value': 50, 'processed_at': '2026-06-20T14:21:30.013918'}",,2026-06-20T14:21:30.000597,2026-06-20T14:21:30.014101,0,0.013504,{}
job_000042,"{'sku': 'SKU00041', 'price': 51, 'quantity': 18}",completed,"{'sku': 'SKU00041', 'price': 51, 'quantity': 18, 'total_value': 918, 'processed_at': '2026-06-20T14:21:30.015815'}",,2026-06-20T14:21:30.004892,2026-06-20T14:21:30.015939,0,0.011047,{}
job_000043,"{'sku': 'SKU00042', 'price': 52, 'quantity': 20}",completed,"{'sku': 'SKU00042', 'price': 52, 'quantity': 20, 'total_value': 1040, 'processed_at': '2026-06-20T14:21:30.024221'}",,2026-06-20T14:21:30.014125,2026-06-20T14:21:30.024400,0,0.010275,{}
